participant_id,instrument_id,balance_type,currency,position_date,balance,frozen_balance,status,calculated_at
BANK_A,CASH_CNY,CASH,CNY,2026-05-10,1341360297.160000,0.000000,EOD,2026-05-11 21:38:14.867344
BANK_A,CASH_EUR,CASH,EUR,2026-05-10,1558501170.140000,0.000000,EOD,2026-05-11 21:38:14.865651
BANK_A,CASH_RUB,CASH,RUB,2026-05-10,750721123.520000,0.000000,EOD,2026-05-11 21:38:18.107567
BANK_A,CASH_USD,CASH,USD,2026-05-10,1162753267.790000,0.000000,EOD,2026-05-11 21:38:14.863932
BANK_A,RU000A0ZYJT2,SECURITIES,RUB,2026-05-10,12331.000000,0.000000,EOD,2026-05-11 21:38:14.868976
BANK_A,RU000A101NJ6,SECURITIES,RUB,2026-05-10,9931.000000,0.000000,EOD,2026-05-11 21:38:14.870748
BANK_A,RU000A103HT3,SECURITIES,RUB,2026-05-10,14768.000000,0.000000,EOD,2026-05-11 21:38:14.872552
BANK_A,RU000A105A95,SECURITIES,RUB,2026-05-10,34818.000000,0.000000,EOD,2026-05-11 21:38:17.721173
BANK_A,RU000A106375,SECURITIES,RUB,2026-05-10,7361.000000,0.000000,EOD,2026-05-11 21:38:14.875993
BANK_A,RU000A1075T3,SECURITIES,RUB,2026-05-10,29196.000000,0.000000,EOD,2026-05-11 21:38:14.877593
BANK_A,RU000A108GX5,SECURITIES,RUB,2026-05-10,37968.000000,0.000000,EOD,2026-05-11 21:38:18.045414
BANK_A,RU000A109GX1,SECURITIES,RUB,2026-05-10,41210.000000,0.000000,EOD,2026-05-11 21:38:14.880813
BANK_A,RU000A110GX2,SECURITIES,RUB,2026-05-10,18067.000000,0.000000,EOD,2026-05-11 21:38:17.437703
BANK_A,RU000A111GX3,SECURITIES,RUB,2026-05-10,32938.000000,0.000000,EOD,2026-05-11 21:38:15.958675
BANK_A,RU000A112USD1,SECURITIES,USD,2026-05-10,11013.000000,0.000000,EOD,2026-05-11 21:38:18.104236
BANK_A,RU000A113USD2,SECURITIES,USD,2026-05-10,7741.000000,0.000000,EOD,2026-05-11 21:38:14.887201
BANK_A,RU000A114EUR1,SECURITIES,EUR,2026-05-10,25488.000000,0.000000,EOD,2026-05-11 21:38:15.847256
